,checkin_type,state,delay_at_checkout_in_minutes,time_delta_with_previous_rental_in_minutes,plage_interval
375,mobile,ended,17.0,720.0,16m-30m
376,mobile,ended,-72.0,,retour en avance
377,mobile,ended,161.0,,2h-3h
378,mobile,ended,146.0,,2h-3h
379,mobile,ended,-919.0,,retour en avance
380,connect,ended,-95.0,,retour en avance
381,mobile,ended,,,>9h
382,connect,canceled,,,>9h
383,mobile,ended,19.0,,16m-30m
384,mobile,ended,-26.0,,retour en avance
385,mobile,canceled,,,>9h
386,mobile,ended,58.0,,46m-60m
387,mobile,ended,21.0,,16m-30m
388,connect,ended,-1019.0,,retour en avance
389,connect,canceled,,,>9h
390,mobile,ended,181.0,,3h-4h
391,mobile,canceled,,,>9h
392,mobile,canceled,,,>9h
393,mobile,ended,14.0,,1m-15m
394,mobile,ended,8.0,,1m-15m
395,mobile,ended,77.0,,1h-2h
396,mobile,ended,-12.0,,retour en avance
397,mobile,ended,-581.0,,retour en avance
398,mobile,ended,59.0,,46m-60m
399,mobile,ended,98.0,,1h-2h
400,mobile,ended,23.0,,16m-30m
401,mobile,ended,14.0,,1m-15m
402,mobile,ended,7.0,,1m-15m
403,mobile,ended,-16.0,,retour en avance
404,connect,canceled,,,>9h
405,mobile,ended,55.0,,46m-60m
406,mobile,ended,101.0,,1h-2h
407,mobile,ended,47.0,,46m-60m
408,mobile,ended,21.0,,16m-30m
409,mobile,ended,-85.0,,retour en avance
410,mobile,ended,15.0,480.0,1m-15m
411,mobile,ended,122.0,,2h-3h
412,mobile,ended,996.0,,>9h
413,mobile,ended,,,>9h
414,mobile,ended,67.0,,1h-2h
415,mobile,ended,-4.0,,retour en avance
416,mobile,ended,-25.0,,retour en avance
417,connect,ended,-40.0,180.0,retour en avance
418,connect,ended,-4.0,600.0,retour en avance
419,mobile,canceled,,,>9h
420,mobile,ended,173.0,,2h-3h
421,mobile,canceled,,,>9h
422,connect,ended,-256.0,30.0,retour en avance
423,mobile,ended,20.0,,16m-30m
424,mobile,ended,72.0,,1h-2h
425,mobile,ended,3.0,,1m-15m
426,mobile,ended,102.0,,1h-2h
427,connect,ended,-126.0,,retour en avance
428,mobile,ended,-5.0,,retour en avance
429,connect,ended,27.0,,16m-30m
430,connect,canceled,,,>9h
431,mobile,ended,,,>9h
432,mobile,canceled,,,>9h
433,mobile,ended,2.0,,1m-15m
434,mobile,ended,89.0,,1h-2h
435,connect,ended,-16.0,90.0,retour en avance
436,mobile,ended,18.0,60.0,16m-30m
437,connect,canceled,,,>9h
438,mobile,ended,44.0,0.0,31m-45m
439,mobile,ended,21.0,,16m-30m
440,mobile,ended,-3.0,,retour en avance
441,mobile,ended,-78.0,,retour en avance
442,mobile,ended,52.0,,46m-60m
443,mobile,canceled,,,>9h
444,mobile,ended,,,>9h
445,mobile,ended,-14.0,,retour en avance
446,mobile,ended,-41.0,,retour en avance
447,mobile,ended,84.0,,1h-2h
448,connect,ended,,,>9h
449,mobile,ended,-18.0,,retour en avance
450,mobile,ended,65.0,,1h-2h
451,mobile,ended,10.0,,1m-15m
452,mobile,ended,-14.0,,retour en avance
453,mobile,ended,-21.0,,retour en avance
454,mobile,ended,-40.0,,retour en avance
455,mobile,ended,-104.0,,retour en avance
456,connect,ended,-3.0,30.0,retour en avance
457,connect,ended,173.0,,2h-3h
458,connect,ended,-54.0,360.0,retour en avance
459,connect,ended,7.0,540.0,1m-15m
460,connect,canceled,,,>9h
461,mobile,ended,108.0,,1h-2h
462,mobile,ended,-38.0,,retour en avance
463,mobile,canceled,,,>9h
464,mobile,ended,-208.0,,retour en avance
465,mobile,canceled,,,>9h
466,mobile,canceled,,,>9h
467,mobile,canceled,,,>9h
468,mobile,ended,-35.0,,retour en avance
469,mobile,canceled,,,>9h
470,mobile,ended,73.0,,1h-2h
471,connect,ended,73.0,,1h-2h
472,mobile,canceled,,,>9h
473,mobile,canceled,,,>9h
474,mobile,ended,129.0,,2h-3h
475,connect,ended,-709.0,,retour en avance
476,mobile,canceled,,,>9h
477,mobile,ended,-30.0,,retour en avance
478,mobile,ended,15.0,,1m-15m
479,mobile,canceled,,,>9h
480,mobile,ended,30.0,,16m-30m
481,mobile,ended,-14.0,,retour en avance
482,mobile,ended,-444.0,,retour en avance
483,mobile,ended,33.0,,31m-45m
484,mobile,ended,,,>9h
485,mobile,canceled,,,>9h
486,connect,ended,-83.0,,retour en avance
487,connect,ended,-432.0,,retour en avance
488,mobile,ended,-16.0,,retour en avance
489,connect,ended,25.0,60.0,16m-30m
490,mobile,ended,,,>9h
491,connect,ended,27.0,,16m-30m
492,mobile,ended,-47.0,,retour en avance
493,mobile,ended,,,>9h
494,mobile,ended,99.0,660.0,1h-2h
495,mobile,ended,4.0,,1m-15m
496,mobile,ended,90.0,,1h-2h
497,mobile,canceled,,,>9h
498,mobile,ended,20.0,180.0,16m-30m
499,mobile,canceled,,,>9h
500,mobile,ended,10.0,,1m-15m
501,mobile,ended,69.0,420.0,1h-2h
502,mobile,canceled,,,>9h
503,mobile,ended,335.0,,5h-6h
504,mobile,canceled,,150.0,>9h
505,mobile,canceled,,,>9h
506,mobile,ended,-20.0,,retour en avance
507,mobile,canceled,,,>9h
508,mobile,ended,403.0,,6h-7h
509,mobile,canceled,,,>9h
510,mobile,ended,1.0,,1m-15m
511,mobile,canceled,,,>9h
512,connect,ended,-167.0,,retour en avance
513,mobile,ended,136.0,,2h-3h
514,mobile,canceled,,,>9h
515,mobile,ended,62.0,,1h-2h
516,mobile,ended,-55.0,,retour en avance
517,mobile,ended,-100.0,,retour en avance
518,mobile,ended,-80.0,,retour en avance
519,mobile,ended,41.0,,31m-45m
520,mobile,ended,45.0,,31m-45m
521,mobile,ended,436.0,,7h-8h
522,mobile,ended,-43.0,,retour en avance
523,connect,ended,-155.0,,retour en avance
524,mobile,ended,-3.0,,retour en avance
525,mobile,ended,42.0,,31m-45m
526,connect,ended,-1.0,,retour en avance
527,mobile,ended,,,>9h
528,mobile,ended,-10.0,,retour en avance
529,mobile,ended,15.0,,1m-15m
530,mobile,ended,7.0,,1m-15m
531,mobile,canceled,,,>9h
532,mobile,ended,181.0,,3h-4h
533,mobile,ended,14.0,,1m-15m
534,mobile,ended,,,>9h
535,mobile,ended,7.0,,1m-15m
536,mobile,ended,-10.0,,retour en avance
537,connect,canceled,,,>9h
538,mobile,ended,-52.0,,retour en avance
539,mobile,canceled,,,>9h
540,mobile,ended,-34.0,,retour en avance
541,connect,ended,162.0,,2h-3h
542,mobile,canceled,,,>9h
543,mobile,ended,,,>9h
544,mobile,ended,946.0,,>9h
545,mobile,ended,-12.0,,retour en avance
546,connect,ended,-76.0,,retour en avance
547,mobile,ended,1.0,390.0,1m-15m
548,mobile,ended,-20.0,,retour en avance
549,mobile,ended,-17.0,,retour en avance
550,connect,ended,-154.0,,retour en avance
551,mobile,canceled,,,>9h
552,mobile,ended,,,>9h
553,mobile,ended,-53.0,,retour en avance
554,mobile,canceled,,,>9h
555,mobile,ended,300.0,,4h-5h
556,mobile,ended,-25.0,,retour en avance
557,mobile,ended,-15.0,120.0,retour en avance
558,connect,ended,9.0,,1m-15m
559,mobile,canceled,,,>9h
560,mobile,ended,22.0,,16m-30m
561,mobile,canceled,,,>9h
562,mobile,canceled,,,>9h
563,mobile,ended,28.0,,16m-30m
564,mobile,ended,106.0,,1h-2h
565,mobile,canceled,,,>9h
566,mobile,ended,3.0,,1m-15m
567,mobile,canceled,,,>9h
568,mobile,ended,10.0,360.0,1m-15m
569,mobile,canceled,,,>9h
570,mobile,ended,-169.0,,retour en avance
571,mobile,ended,-67.0,,retour en avance
572,mobile,ended,-101.0,,retour en avance
573,mobile,ended,14.0,,1m-15m
574,mobile,ended,3371.0,,>9h
575,mobile,ended,-19.0,,retour en avance
576,mobile,ended,0.0,,0
577,connect,canceled,,,>9h
578,mobile,ended,,,>9h
579,mobile,ended,9.0,,1m-15m
580,mobile,canceled,,,>9h
581,mobile,ended,1110.0,,>9h
582,mobile,ended,-54.0,,retour en avance
583,connect,ended,0.0,,0
584,mobile,ended,-138.0,,retour en avance
585,mobile,ended,38.0,,31m-45m
586,mobile,canceled,,,>9h
587,mobile,ended,6.0,,1m-15m
588,connect,ended,82.0,,1h-2h
589,mobile,ended,-10.0,,retour en avance
590,mobile,ended,-16.0,,retour en avance
591,mobile,ended,107.0,,1h-2h
592,mobile,ended,49.0,,46m-60m
593,mobile,ended,32.0,,31m-45m
594,connect,canceled,,,>9h
595,mobile,canceled,,,>9h
596,mobile,ended,142.0,,2h-3h
597,mobile,ended,44.0,,31m-45m
598,mobile,ended,48.0,,46m-60m
599,mobile,ended,-97.0,,retour en avance
600,connect,ended,58.0,,46m-60m
601,mobile,ended,25.0,,16m-30m
602,connect,ended,-651.0,570.0,retour en avance
603,mobile,ended,66.0,,1h-2h
604,mobile,ended,243.0,,4h-5h
605,connect,ended,-73.0,,retour en avance
606,mobile,ended,16.0,,16m-30m
607,mobile,ended,349.0,,5h-6h
608,connect,ended,-44.0,,retour en avance
609,mobile,ended,28.0,,16m-30m
610,mobile,canceled,,,>9h
611,mobile,ended,27.0,150.0,16m-30m
612,mobile,ended,41.0,,31m-45m
613,connect,ended,-425.0,240.0,retour en avance
614,mobile,canceled,,,>9h
615,mobile,ended,-35.0,,retour en avance
616,connect,ended,-125.0,,retour en avance
617,mobile,ended,59.0,,46m-60m
618,mobile,ended,100.0,,1h-2h
619,connect,ended,-353.0,,retour en avance
620,mobile,ended,-29.0,,retour en avance
621,mobile,ended,22.0,,16m-30m
622,connect,ended,101.0,0.0,1h-2h
623,connect,canceled,,,>9h
624,connect,ended,-90.0,,retour en avance
625,mobile,ended,21.0,,16m-30m
626,mobile,ended,4265.0,,>9h
627,mobile,ended,30.0,,16m-30m
628,connect,canceled,,,>9h
629,mobile,ended,,,>9h
630,mobile,canceled,,,>9h
631,mobile,ended,,,>9h
632,mobile,ended,58.0,,46m-60m
633,mobile,canceled,,,>9h
634,mobile,ended,-12.0,,retour en avance
635,mobile,ended,,,>9h
636,mobile,ended,,,>9h
637,connect,canceled,,210.0,>9h
638,mobile,ended,43.0,360.0,31m-45m
639,mobile,ended,,,>9h
640,mobile,ended,,,>9h
641,connect,ended,-19.0,,retour en avance
642,mobile,ended,90.0,,1h-2h
643,mobile,ended,67.0,,1h-2h
644,connect,ended,-173.0,630.0,retour en avance
645,mobile,ended,-685.0,,retour en avance
646,mobile,ended,76.0,,1h-2h
647,connect,ended,-55.0,60.0,retour en avance
648,mobile,ended,-81.0,,retour en avance
649,mobile,ended,14.0,,1m-15m
650,mobile,canceled,,,>9h
651,connect,ended,-17.0,120.0,retour en avance
652,connect,ended,-90.0,,retour en avance
653,mobile,ended,21.0,,16m-30m
654,mobile,ended,12.0,,1m-15m
655,mobile,ended,1101.0,,>9h
656,mobile,ended,-9.0,,retour en avance
657,mobile,ended,-1.0,,retour en avance
658,mobile,ended,-15.0,,retour en avance
659,mobile,ended,28.0,,16m-30m
660,mobile,ended,-26.0,,retour en avance
661,mobile,ended,-24.0,,retour en avance
662,mobile,ended,110.0,,1h-2h
663,connect,canceled,,,>9h
664,mobile,ended,1360.0,,>9h
665,mobile,canceled,,,>9h
666,mobile,ended,42.0,,31m-45m
667,mobile,canceled,,,>9h
668,mobile,ended,,,>9h
669,mobile,canceled,,720.0,>9h
670,mobile,ended,-238.0,,retour en avance
671,connect,canceled,,,>9h
672,mobile,ended,89.0,,1h-2h
673,mobile,canceled,,,>9h
674,mobile,canceled,,,>9h
675,connect,ended,-22.0,,retour en avance
676,connect,canceled,,,>9h
677,mobile,ended,694.0,,>9h
678,connect,ended,183.0,510.0,3h-4h
679,connect,ended,119.0,,1h-2h
680,mobile,canceled,,,>9h
681,mobile,canceled,,,>9h
682,mobile,ended,-70.0,,retour en avance
683,mobile,ended,22.0,,16m-30m
684,mobile,ended,42.0,,31m-45m
685,connect,ended,-73.0,,retour en avance
686,mobile,ended,-65.0,,retour en avance
687,mobile,ended,6.0,,1m-15m
688,mobile,ended,-746.0,,retour en avance
689,mobile,canceled,,,>9h
690,mobile,ended,9.0,,1m-15m
691,mobile,ended,,,>9h
692,mobile,ended,-5.0,,retour en avance
693,mobile,ended,-191.0,,retour en avance
694,connect,ended,-60.0,210.0,retour en avance
695,mobile,canceled,,,>9h
696,mobile,canceled,,,>9h
697,mobile,ended,6.0,0.0,1m-15m
698,connect,ended,-53.0,480.0,retour en avance
699,connect,ended,-104.0,,retour en avance
700,mobile,canceled,,,>9h
701,mobile,ended,1490.0,,>9h
702,mobile,ended,16.0,,16m-30m
703,mobile,ended,7.0,,1m-15m
704,connect,ended,28.0,,16m-30m
705,mobile,ended,14.0,,1m-15m
706,mobile,ended,-10.0,,retour en avance
707,connect,canceled,,,>9h
708,mobile,ended,-1.0,,retour en avance
709,connect,ended,-11.0,,retour en avance
710,mobile,ended,248.0,,4h-5h
711,connect,ended,-157.0,,retour en avance
712,mobile,ended,-38.0,,retour en avance
713,connect,canceled,,,>9h
